Designator,Mid X,Mid Y,Rotation,Layer
BT1,89.5,-64.0,0.0,top
BT2,77.5,-94.0,0.0,top
BUZZER,61.75,-96.75,270.0,bottom
BZ1,68.5,-74.0,0.0,top
D1,113.0,-98.27,270.0,top
D2,105.5,-76.495,270.0,top
D3,127.0,-121.73,270.0,top
D4,98.0,-108.73,270.0,top
D5,54.0,-95.23,270.0,top
LIGHT,62.25,-85.75,270.0,bottom
M1,112.27,-90.0,270.0,bottom
R1,90.0,-106.19,90.0,top
R2,101.31,-100.0,0.0,top
R3,98.0,-83.69,90.0,top
R4,123.5,-111.69,270.0,top
R5,106.5,-109.19,270.0,top
R6,56.0,-85.69,270.0,top
R7,114.2,-113.5,0.0,top
R8,85.69,-80.0,180.0,top
VIBRATOR,74.25,-64.25,270.0,bottom
